Age,Annual_Income,Spending_Score,Tenure,Purchase_Frequency,Avg_Order_Value,Last_Purchase_Days,Support_Calls,Discount_Usage,Loyalty_Score,Churn,CLV,Complaint_Rate,Engagement_Score
56,46143,87,10,8,595,29,5,0.5330305614882556,23,1,52360,0.45454545454545453,32.31095890410959
35,26154,38,4,11,4862,361,8,0.13789882173033396,52,1,267410,1.6,29.519178082191782
21,41804,6,1,36,4526,308,5,0.5912429057506141,66,1,325872,2.5,46.92328767123287
42,61688,86,8,10,1073,162,8,0.31478562371695795,57,1,96570,0.8888888888888888,42.62328767123287
31,84288,25,5,21,2821,357,3,0.05234876680960243,57,1,355446,0.5,35.23835616438356
67,71195,82,2,20,4535,340,0,0.9486561577065649,79,1,272100,0.0,46.869863013698634
26,40581,17,6,48,289,61,0,0.6414903690642878,52,1,97104,0.0,57.057534246575344
43,72648,61,8,8,2479,125,9,0.876918931870847,35,1,178488,1.0,33.05068493150685
19,50087,12,2,36,656,71,6,0.6760560050132531,74,1,70848,2.0,63.909589041095884
37,69930,6,1,29,2480,326,2,0.35698369214011294,14,1,143840,1.0,17.836986301369862
45,52981,90,6,42,4649,364,1,0.5126880723288114,91,1,1366806,0.14285714285714285,58.154794520547945
64,89298,27,6,12,1204,243,5,0.6757467603471771,14,1,101136,0.7142857142857143,17.284931506849315
24,66167,8,3,14,4734,249,5,0.9602523252014376,99,1,265104,1.25,60.056164383561644
61,95304,83,10,48,544,221,6,0.2536694591216965,33,1,287232,0.5454545454545454,38.79041095890411
25,63408,65,8,21,2911,21,4,0.8749770586241177,52,1,550179,0.4444444444444444,51.14931506849315
64,59499,57,7,22,4952,82,7,0.9240778052942694,1,1,871552,0.875,22.606849315068494
52,145816,93,0,21,2662,344,6,0.6704155146589565,34,1,55902,6.0,24.45068493150685
31,72269,99,0,44,1316,10,1,0.9312666274013378,19,1,57904,1.0,42.15205479452055
34,58559,40,4,30,825,12,0,0.3978785874773685,24,0,123750,0.0,40.34246575342466
53,134126,14,5,39,4579,263,8,0.9530161760404428,4,1,1071486,1.3333333333333333,19.28904109589041
67,94319,35,2,20,2179,145,4,0.7027828771659749,36,1,130740,1.3333333333333333,36.054794520547944
57,131925,48,8,24,4194,192,4,0.0420057674188119,77,1,905904,0.4444444444444444,55.179452054794524
21,115317,84,9,23,1878,250,9,0.9068728318190528,58,1,431940,0.9,42.201369863013696
19,116347,56,5,7,422,114,3,0.48447280903319256,32,1,17724,0.5,31.853424657534248
23,68787,49,3,9,943,26,1,0.46032698477783285,9,1,33948,0.25,25.775342465753425
59,55488,13,6,1,662,271,4,0.5664666059796343,80,1,4634,0.5714285714285714,45.45068493150684
21,94441,61,7,26,1768,33,1,0.14938454677122792,67,0,367744,0.125,59.49178082191781
46,94663,49,8,38,3547,62,6,0.46916604856739863,20,1,1213074,0.6666666666666666,38.0027397260274
35,42431,46,10,38,1936,229,8,0.8311272167177457,74,1,809248,0.7272727272727273,55.85205479452055
43,81681,62,5,44,4239,303,8,0.015482459137515336,62,1,1119096,1.3333333333333333,47.59726027397261
61,83483,8,5,22,4151,95,5,0.2729171603243713,58,1,547932,0.8333333333333334,50.394520547945206
51,142720,43,7,44,864,35,0,0.00245458644384422,22,0,304128,0.0,42.28219178082192
27,69153,20,4,10,1556,193,5,0.41571130914984833,67,1,77800,1.0,45.92465753424658
53,26368,97,2,6,1214,76,4,0.7283155104937347,75,1,21852,1.3333333333333333,55.13561643835616
31,47424,90,2,17,2332,249,3,0.7987718291146285,89,1,118932,1.0,55.95616438356164
48,132360,39,5,38,2868,83,5,0.9451897611270066,48,1,653904,0.8333333333333334,50.85205479452055
65,65004,85,1,24,1254,25,5,0.6085046129707865,8,1,60192,2.5,29.83013698630137
32,103869,49,5,10,1964,57,5,0.25462686665289547,73,1,117840,0.8333333333333334,56.37671232876713
25,108652,64,5,8,4658,32,1,0.924147949136699,15,1,223584,0.16666666666666666,28.146575342465752
31,132755,62,7,21,3069,319,6,0.7753157538803761,32,1,515592,0.75,24.82054794520548
40,76985,54,6,6,1612,12,3,0.5744284830031445,53,1,67704,0.42857142857142855,47.64246575342466
57,70069,9,7,21,867,319,8,0.695640215718936,67,1,145656,1.0,42.320547945205476
38,72326,88,8,39,3570,333,9,0.9243163550074291,4,1,1253070,1.0,15.453424657534244
33,128737,37,5,24,1594,92,1,0.7123940284729217,30,1,229536,0.16666666666666666,37.158904109589045
62,101061,49,2,33,298,1,4,0.368374507584734,13,1,29502,1.3333333333333333,36.345205479452055
35,43398,41,9,18,4270,326,3,0.7130282022890967,21,1,768600,0.3,18.03698630136986
64,118393,17,2,28,621,136,8,0.04027816273538787,41,1,52164,2.6666666666666665,41.44794520547945
41,70861,88,10,32,3850,196,3,0.38641556183058123,19,1,1355200,0.2727272727272727,28.36027397260274
43,95897,21,0,12,4357,133,7,0.4063230318455793,48,1,52284,7.0,40.31232876712329
42,101905,51,10,48,1332,86,7,0.16683823442083467,86,1,703296,0.6363636363636364,72.68767123287671
62,147118,59,4,42,1902,295,5,0.023085480551770177,63,1,399420,1.0,47.93561643835616
58,88577,39,3,27,3820,279,5,0.13338123663774282,20,1,412560,1.25,22.81232876712329
46,85641,55,8,10,3390,324,7,0.6546214957970551,64,1,305100,0.7777777777777778,37.24657534246575
32,29078,41,8,46,797,180,9,0.8022888163636875,37,1,329958,1.0,42.43698630136986
62,45003,39,4,42,591,4,8,0.9882034927269742,31,1,124110,1.6,47.88082191780822
18,82768,13,9,32,1275,126,4,0.3463635031084943,74,1,408000,0.4,59.69589041095891
42,71047,64,3,42,2850,175,0,0.5993792222611017,18,1,478800,0.0,32.01095890410959
24,91626,11,6,26,2584,251,0,0.9371449668151219,20,1,470288,0.0,24.046575342465754
26,77660,19,5,25,1009,21,1,0.16704178133815262,82,1,151350,0.16666666666666666,67.34931506849315
41,124386,11,3,11,3509,105,9,0.7176455863427427,11,1,154396,2.25,23.046575342465754
18,69786,77,9,23,3938,66,9,0.7549787331491632,86,1,905740,0.9,66.28356164383561
61,21925,46,1,34,1359,263,4,0.08897553586933837,44,1,92412,2.0,37.78904109589041
25,103976,45,0,40,1731,49,3,0.861249385183065,82,1,69240,3.0,70.31506849315069
41,125221,1,3,23,2882,16,0,0.8131050471108439,64,1,265144,0.0,58.02328767123288
28,137832,40,3,29,453,145,3,0.033403006577434446,34,1,52548,0.75,37.75479452054795
68,145150,19,0,31,3748,340,3,0.09108441488005148,87,1,116188,3.0,54.16986301369863
34,46015,76,5,7,3385,250,9,0.04912689389185232,65,1,142170,1.5,40.9013698630137
25,53320,72,3,40,1431,343,3,0.3347435317993622,55,1,228960,0.75,40.705479452054796
52,84881,72,0,33,2623,354,0,0.5092889906799262,74,1,86559,0.0,47.50273972602739
52,110827,61,0,21,3775,75,8,0.5323477279546288,1,1,79275,8.0,22.69041095890411
50,140071,12,0,2,4461,290,2,0.26766675976944265,38,1,8922,2.0,23.709589041095892
22,122215,61,7,18,1773,282,3,0.9115968865602742,9,1,255312,0.375,14.44794520547945
59,46289,33,9,47,3108,66,4,0.3682627898719132,95,1,1460760,0.4,77.98356164383561
56,148859,45,7,33,4912,125,6,0.0455501559653525,71,1,1296768,0.75,58.55068493150685
58,23389,90,1,37,1825,319,5,0.30022711154138637,17,1,135050,2.5,22.12054794520548
45,45683,92,10,34,4198,87,4,0.5311094225441555,99,1,1570052,0.36363636363636365,74.93287671232878
24,33629,69,6,20,4083,41,7,0.40822182258823203,52,1,571620,1.0,49.753424657534254
26,81550,8,7,35,3715,186,0,0.27384251909925916,18,1,1040200,0.0,29.30821917808219
25,44826,25,7,18,3603,354,6,0.13132324976431742,63,1,518832,0.75,37.50273972602739
29,120734,91,10,46,4798,335,5,0.8191645000962298,33,1,2427788,0.45454545454545453,31.943835616438353
51,46630,46,9,24,4880,266,4,0.9961452421241919,4,1,1171200,0.4,14.624657534246573
50,118762,87,10,8,2158,271,6,0.32954213352388206,87,1,189904,0.5454545454545454,51.05068493150685
65,66163,30,6,30,4209,42,2,0.3816210441766039,75,1,883890,0.2857142857142857,64.19863013698631
40,118511,47,4,44,2935,93,0,0.618037524676957,52,1,645700,0.0,54.1041095890411
41,86435,87,0,10,4691,185,8,0.7184414747355413,9,1,46910,8.0,17.363013698630137
54,31653,49,8,23,3374,215,1,0.39202953480359126,64,1,698418,0.1111111111111111,47.11917808219178
52,47961,47,6,49,601,17,9,0.9049295169818152,30,1,206143,1.2857142857142858,48.76849315068493
61,101941,84,1,11,1174,265,2,0.5600039892289184,8,1,25828,1.0,12.779452054794522
57,94137,82,5,2,423,114,7,0.450390076405931,5,1,5076,1.1666666666666667,16.853424657534248
39,53662,18,1,26,4813,292,9,0.6466727531599051,76,1,250276,4.5,49.8
44,118818,66,0,36,435,292,8,0.9528038482491732,63,1,15660,8.0,46.3
52,76446,68,6,33,3698,48,2,0.7945522944217055,1,1,854238,0.2857142857142857,27.769863013698632
18,41288,94,1,47,4411,307,5,0.04001313053512434,15,1,414634,2.5,24.778082191780825
52,142555,33,1,13,3434,97,6,0.33230991073995964,89,1,89284,3.0,63.084931506849315
54,115081,36,10,40,425,95,0,0.4705446849512227,82,1,187000,0.0,67.79452054794521
64,56877,82,4,25,2477,326,6,0.31451757220910526,38,1,309625,1.2,28.636986301369863
31,131562,19,4,4,4477,74,3,0.7001875608304565,42,1,89540,0.6,38.14520547945206
20,35313,28,6,42,1541,336,4,0.826269149862581,46,1,453054,0.5714285714285714,37.18904109589041
18,100885,40,0,19,4236,68,7,0.7313450951852716,53,1,80484,7.0,48.473972602739735
22,92715,84,7,18,409,246,3,0.9893332868282753,26,1,58896,0.375,24.920547945205477
43,30326,97,2,37,3927,77,3,0.2725476478930291,61,1,435897,1.0,57.38082191780822
31,130091,76,3,30,4128,208,7,0.8749894950244215,67,1,495360,1.75,51.102739726027394
56,145836,15,8,19,3003,254,4,0.7666226651744862,54,1,513513,0.4444444444444444,38.78219178082192
44,21560,41,3,23,1309,221,5,0.3621787575581461,22,1,120428,1.25,25.790410958904108
26,99148,39,9,16,2226,262,4,0.7341245436569687,26,1,356160,0.4,23.443835616438356
32,103186,2,4,1,593,331,0,0.10407595641824696,83,1,2965,0.0,43.66301369863013
32,46745,63,6,12,1043,344,6,0.7893334823405523,60,1,87612,0.8571428571428571,34.75068493150685
43,51890,29,3,24,1724,259,5,0.5323306025871026,39,1,165504,1.25,32.50821917808219
59,40022,74,0,34,803,308,1,0.29229017270925317,36,1,27302,1.0,31.323287671232876
30,143629,66,8,8,781,74,6,0.6557773017841801,21,1,56232,0.6666666666666666,28.845205479452055
68,72579,51,3,18,2139,125,5,0.641619998714409,41,1,154008,1.25,39.05068493150685
49,90316,75,8,48,332,188,4,0.2094862227195997,48,1,143424,0.4444444444444444,48.0986301369863
56,103847,77,5,5,3038,254,7,0.030397414811526136,26,1,91140,1.1666666666666667,20.58219178082192
66,48380,10,0,26,3585,321,4,0.4336225869016739,63,1,93210,4.0,41.71095890410959
69,130198,14,2,30,3970,308,1,0.5695118693444212,77,1,357300,0.3333333333333333,50.62328767123287
49,22356,82,10,13,2468,235,5,0.8766052783705984,36,1,352924,0.45454545454545453,29.023287671232875
21,90326,51,1,19,1175,250,0,0.9282167956475944,24,1,44650,0.0,24.0013698630137
47,112447,73,8,29,2013,332,4,0.5288052181567664,90,1,525393,0.4444444444444444,55.50821917808219
54,134994,39,0,3,3463,345,5,0.7538034837685449,21,1,10389,5.0,12.495890410958905
40,109899,28,8,26,1743,72,6,0.43930327232799693,18,1,407862,0.6666666666666666,32.85479452054794
56,40049,3,8,40,3035,235,1,0.746082156572893,15,1,1092600,0.1111111111111111,26.623287671232877
62,95717,84,7,12,2938,324,0,0.20480152493916692,79,1,282048,0.0,45.346575342465755
32,125361,70,7,2,1557,156,5,0.3710647348035314,6,1,24912,0.625,15.052054794520549
60,36082,27,10,11,4334,115,2,0.6342279988136148,43,1,524414,0.18181818181818182,38.49863013698631
46,20661,2,0,44,1516,313,4,0.01815796560707883,31,1,66704,4.0,31.54931506849315
53,57412,93,10,28,361,228,1,0.722461310338954,28,1,111188,0.09090909090909091,29.90684931506849
30,134015,38,7,18,2109,322,0,0.8355355012681668,8,1,303696,0.0,11.756164383561641
49,143191,3,9,13,1327,346,0,0.39914166109395144,29,1,172510,0.0,19.441095890410956
24,22920,16,2,37,4070,245,3,0.4479424171771643,21,1,451770,1.0,28.175342465753427
68,111194,94,10,22,1858,306,9,0.851282212216531,81,1,449636,0.8181818181818182,50.33287671232877
39,134306,40,6,12,3325,14,1,0.7756546353260334,88,0,279300,0.14285714285714285,66.83287671232877
45,80315,2,10,2,2163,16,0,0.288149489033375,58,0,47586,0.0,48.72328767123288
19,99561,81,0,37,2489,42,5,0.32397610656153897,60,1,92093,5.0,58.798630136986304
59,28946,41,0,7,1166,110,3,0.6788782323905966,50,1,8162,3.0,41.07260273972603
62,114242,12,9,26,1089,278,9,0.5631980924481612,31,1,283140,0.9,28.067123287671237
23,65500,35,4,26,3261,324,6,0.16222957109649694,47,1,423930,1.2,33.54657534246575
45,124540,65,4,24,3829,19,5,0.3099299092291664,34,1,459480,1.0,43.158904109589045
45,36309,55,7,12,3389,66,4,0.8999832768786541,2,1,325344,0.5,20.983561643835614
61,75230,45,6,16,2948,167,9,0.6881744367222634,67,1,330176,1.2857142857142858,49.14931506849315
61,131822,79,7,23,1866,73,1,0.9859743176855195,94,1,343344,0.125,69.9
37,118656,90,5,40,3266,310,4,0.7670125299807694,72,1,783840,0.6666666666666666,51.013698630136986
47,143782,85,5,9,1641,112,8,0.9419744321435902,52,1,88614,1.3333333333333333,42.56301369863014
28,50027,62,1,32,1267,274,8,0.2161885738704754,7,1,81088,4.0,18.086301369863016
45,146768,49,5,15,4423,85,1,0.7714848748169257,76,1,398070,0.16666666666666666,57.84246575342466
42,92541,95,4,37,3123,139,6,0.02021752014779743,19,1,577755,1.2,32.98356164383562
56,132340,25,2,13,4453,39,9,0.6707600217115339,90,1,173667,3.0,66.76301369863013
50,134846,23,5,5,4056,105,3,0.46928227812024137,92,1,121680,0.5,61.74657534246575
18,79321,24,7,11,1026,324,2,0.34676007192006864,15,1,90288,0.25,13.046575342465752
44,20956,38,8,10,4807,281,0,0.8624043522930891,78,1,432630,0.0,46.602739726027394
69,120375,28,0,13,4185,123,2,0.8542676926575307,48,1,54405,2.0,41.16027397260274
30,94131,21,2,41,2292,218,8,0.022301704898643582,14,1,281916,2.6666666666666665,27.35479452054794
58,67908,54,2,46,3379,61,8,0.609505122449431,3,1,466302,2.6666666666666665,31.957534246575342
20,98339,18,10,15,4738,100,6,0.3678322243209564,50,1,781770,0.5454545454545454,44.02054794520548
56,145659,36,7,42,4101,307,2,0.41566100150044916,93,1,1377936,0.25,62.278082191780825
23,45963,99,0,7,2562,354,2,0.832040739218776,54,1,17934,2.0,29.7027397260274
25,121757,45,4,40,2424,204,3,0.3098397715276783,6,1,484800,0.6,23.821917808219176
44,59443,73,2,28,1926,258,6,0.9430488106376201,49,1,161784,2.0,38.76301369863014
26,119259,53,1,32,2206,5,6,0.17963382637214076,23,1,141184,3.0,40.826027397260276
54,59063,30,7,35,466,197,1,0.6627224233681778,92,1,130480,0.125,65.70547945205479
50,134225,60,2,15,1037,180,4,0.6721050670137647,78,1,46665,1.3333333333333333,53.636986301369866
68,136400,98,6,48,4784,342,6,0.2521951614279182,78,1,1607424,0.8571428571428571,54.66027397260274
59,100818,32,10,36,4997,133,6,0.324750608967202,20,1,1978812,0.5454545454545454,33.512328767123286
61,24703,67,0,21,886,324,5,0.8347984925799404,77,1,18606,5.0,47.04657534246575
41,85128,67,5,6,3561,253,9,0.7618052549549524,91,1,128196,1.5,53.436986301369856
32,92099,28,2,1,556,265,9,0.32909588031475956,60,1,1668,3.0,35.77945205479452
49,45849,44,7,4,4015,93,7,0.5339565469349339,99,1,128480,0.875,65.6041095890411
49,51860,79,5,11,1071,150,2,0.06168029625309546,45,1,70686,0.3333333333333333,37.58082191780822
41,51585,41,1,44,2173,138,0,0.20874588239862923,61,1,191224,0.0,56.138356164383566
58,42015,63,5,26,4847,208,2,0.4858205588603991,56,1,756132,0.3333333333333333,44.40273972602739
69,97539,23,6,37,2010,125,1,0.0859737352792116,2,1,520590,0.14285714285714285,25.250684931506854
66,63585,75,4,23,4618,234,1,0.8433323548919375,45,1,531070,0.2,36.57808219178082
66,46958,48,2,29,2841,61,1,0.7180062101076479,40,1,247167,0.3333333333333333,45.35753424657534
69,46017,32,3,21,2428,307,4,0.9436336706484948,24,1,203952,1.0,21.478082191780825
29,96707,57,3,48,3591,266,0,0.6934669059640272,29,1,689472,0.0,34.324657534246576
56,144677,33,5,45,4378,134,9,0.9404013722621856,67,1,1182060,1.5,59.657534246575345
19,65350,24,9,45,2550,318,3,0.554512555690965,68,1,1147500,0.3,50.07534246575342
20,32201,39,0,49,4557,113,9,0.6002186110619694,66,1,223293,9.0,61.50821917808219
66,49426,34,10,27,2939,191,4,0.9769710546262609,84,1,872883,0.36363636363636365,59.634246575342466
54,37778,56,3,39,2930,187,1,0.6421291468642604,54,1,457080,0.25,48.45342465753425
66,65241,28,9,40,1518,319,4,0.0307865688607466,53,1,607200,0.4,41.02054794520548
34,62229,37,3,13,1735,89,9,0.7238027766305233,79,1,90220,2.25,58.52328767123288
66,106652,7,9,23,4984,187,3,0.9054686921374157,49,1,1146320,0.3,41.153424657534245
19,148267,68,0,16,2643,307,7,0.7955802497943266,32,1,42288,7.0,23.978082191780825
19,138402,37,8,30,1972,132,0,0.5838332726254226,61,1,532440,0.0,52.26712328767123
45,68364,56,3,4,3409,360,4,0.6713035130935163,42,1,54544,1.0,22.473972602739725
40,118833,65,6,40,1077,123,9,0.9901917892516717,1,1,301560,1.2857142857142858,25.76027397260274
54,146503,65,2,16,3070,48,0,0.09066208850933832,63,1,147360,0.0,53.66986301369863
49,149044,47,9,31,3400,288,9,0.6672448286332395,35,1,1054000,0.9,31.01917808219178
50,104878,20,2,42,4344,179,9,0.2833976945705938,51,1,547344,3.0,48.29178082191781
18,77056,19,7,25,3947,180,3,0.6400903965861701,71,1,789400,0.375,53.136986301369866
36,47490,29,7,44,3036,99,7,0.6076235758839388,45,1,1068672,0.875,50.275342465753425
19,147769,74,10,12,492,330,0,0.15345683210816208,77,1,64944,0.0,44.017808219178086
61,39975,60,0,26,1851,34,1,0.20674664574023915,65,1,48126,1.0,58.436986301369856
43,46723,18,9,37,4831,70,0,0.6216295780432135,14,1,1787470,0.0,34.26438356164384
49,43279,92,1,48,4606,171,6,0.12822994730377413,93,1,442176,3.0,71.53013698630137
23,98301,35,7,33,736,272,1,0.26518087513032285,3,1,194304,0.125,16.495890410958907
49,132214,43,0,28,2886,59,0,0.8352455477380024,24,1,80808,0.0,37.16712328767123
21,31561,95,7,9,433,181,5,0.3270915060016386,65,1,31176,0.625,45.28219178082192
28,127435,91,7,12,2852,19,5,0.4880601562696629,48,1,273792,0.625,46.558904109589044
34,86061,11,1,5,2574,226,9,0.9411403351458403,10,1,25740,4.5,14.116438356164384
55,108397,49,3,28,2472,95,1,0.2271490888369463,13,1,276864,0.25,29.694520547945206
41,69153,38,5,35,1166,297,0,0.3896260173580104,73,1,244860,0.0,50.726027397260275
22,53142,64,10,5,1089,81,9,0.6064577755435456,14,1,59895,0.8181818181818182,24.06164383561644
69,46916,69,8,34,4063,175,2,0.7553389295039722,10,1,1243278,0.2222222222222222,25.610958904109587
51,84324,8,7,46,3600,222,9,0.9016533867127051,40,1,1324800,1.125,41.635616438356166
23,64965,34,7,34,234,103,4,0.9154729875735151,23,1,63648,0.5,36.056164383561644
39,145932,48,6,13,4742,54,5,0.776640074372623,99,1,431522,0.7142857142857143,70.44109589041096
28,24648,56,8,39,3723,183,2,0.22833083659331044,55,1,1306773,0.2222222222222222,49.17260273972603
65,55133,76,1,42,1963,351,8,0.024809330042565803,63,1,164892,4.0,44.867123287671234
33,70677,65,2,45,3491,318,4,0.3837739303556238,71,1,471285,1.3333333333333333,51.57534246575342
50,116059,31,9,48,2688,355,1,0.14154885098782333,42,1,1290240,0.1,35.94794520547945
26,114588,4,7,14,2900,349,9,0.7103876474382981,99,1,324800,1.125,54.57671232876713
23,119950,50,5,11,1758,321,5,0.6611305868257168,66,1,116028,0.8333333333333334,38.71095890410959
33,118317,69,9,42,4890,68,7,0.04397164162145484,79,1,2053800,0.7,68.37397260273973
46,90135,30,8,38,2476,28,5,0.8365937791309511,73,1,846792,0.5555555555555556,66.36575342465753
20,55046,88,9,4,4206,274,3,0.24874326629118226,47,1,168240,0.3,29.686301369863013
37,67064,59,3,33,4639,282,5,0.4322270754910422,81,1,612348,1.25,54.94794520547945
53,121459,67,7,7,1303,360,7,0.6679337354557424,52,1,72968,0.875,28.373972602739727
36,126625,75,9,41,1619,311,7,0.4294187868522533,18,1,663790,0.7,24.258904109589036
43,89350,45,2,8,1678,119,9,0.4412878027999434,79,1,40272,3.0,55.37945205479452
20,65893,4,2,37,4114,134,1,0.06562799533574037,18,1,456654,0.3333333333333333,32.75753424657535
36,121520,26,7,10,3942,129,7,0.4014435492600038,24,1,315360,0.875,27.93150684931507
37,145818,27,4,43,3156,8,5,0.7648478932199835,23,1,678540,1.0,43.96164383561644
49,81272,46,2,15,1582,51,1,0.9151763371865977,12,1,71190,0.3333333333333333,27.705479452054796
24,112152,64,9,38,2774,341,0,0.41349713706337177,23,1,1054120,0.0,24.21506849315068
69,142907,91,10,15,3584,281,5,0.42358582687907886,21,1,591360,0.45454545454545453,19.602739726027398
58,87649,51,0,5,1769,175,6,0.7026271063236521,64,1,8845,6.0,43.91095890410959
50,84674,50,2,29,2094,183,9,0.9427720011052766,90,1,182178,3.0,63.67260273972603
57,144132,6,8,19,2443,192,4,0.2670609402393602,72,1,417753,0.4444444444444444,51.179452054794524
56,139044,59,4,10,2066,249,9,0.44014420653793684,94,1,103300,1.8,56.35616438356164
35,128542,15,9,12,228,235,7,0.7959732435523011,34,1,27360,0.7,27.723287671232878
57,33760,30,1,4,905,83,8,0.6096935693740385,2,1,7240,4.0,17.65205479452055
18,41927,42,6,31,1220,93,3,0.11058634396395473,69,1,264740,0.42857142857142855,58.704109589041096
28,106475,37,1,18,2263,312,6,0.6277327355622657,31,1,81468,3.0,23.804109589041094
45,81367,42,3,16,1646,268,7,0.1867462845973269,97,1,105344,1.75,58.61506849315068
42,117955,35,6,40,3864,120,5,0.5102159340784042,68,1,1081920,0.7142857142857143,59.42465753424658
67,32588,87,3,36,3187,71,1,0.5291032676604385,70,1,458928,0.25,61.909589041095884
40,141750,6,6,25,3802,17,6,0.8762033622249848,87,1,665350,0.8571428571428571,70.06849315068493
48,121678,68,6,23,3885,253,8,0.46249427401243814,19,1,625485,1.1428571428571428,22.53698630136986
47,124734,18,0,12,3568,122,4,0.2794424222358942,72,1,42816,4.0,52.915068493150685
59,138154,73,5,34,3781,10,1,0.23096634821603157,13,1,771324,0.16666666666666666,36.15205479452055
52,72233,29,8,36,2962,287,3,0.8742518766843361,65,1,959688,0.3333333333333333,47.57397260273972
24,64738,77,1,37,4237,316,2,0.1710108544182284,6,1,313538,1.0,16.784931506849315
33,53397,59,2,3,772,326,3,0.42586856088314373,71,1,6948,1.0,38.53698630136986
